GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066279,0.000000,0.080291,0.000000,0.000000,0.000386,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547826,0.000000,0.078662,0.000000,0.000000,0.000378,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599589,0.000000,0.126040,0.000000,0.000000,0.000615,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234212,0.000000,0.081821,0.000000,0.000000,0.000394,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622253,0.000000,0.171238,0.000000,0.000000,0.000841,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968140,0.000000,0.088263,0.000000,0.000000,0.000426,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339477,0.000000,0.123673,0.000000,0.000000,0.000604,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164103,0.000000,0.216262,0.000000,0.000000,0.001066,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532262,0.000000,0.088215,0.000000,0.000000,0.000426,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241648,0.000000,0.166246,0.000000,0.000000,0.000816,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321116,0.000000,0.087387,0.000000,0.000000,0.000422,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719259,0.000000,0.125643,0.000000,0.000000,0.000613,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674138,0.000000,0.101791,0.000000,0.000000,0.000494,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408173,0.000000,0.164926,0.000000,0.000000,0.000810,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367371,0.000000,0.258174,0.000000,0.000000,0.001276,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616608,0.000000,0.106304,0.000000,0.000000,0.000516,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849446,0.000000,0.211218,0.000000,0.000000,0.001041,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291763,0.000000,0.105654,0.000000,0.000000,0.000513,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207555,0.000000,0.109104,0.000000,0.000000,0.000530,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,101306,37.000000,2.000000,2.000000,358.023071,0.000000,0.166781,0.000000,0.000000,0.000819,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,117912,34.000000,2.000000,3.000000,573.043762,0.000000,0.234218,0.000000,0.000000,0.001156,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,118638,39.000000,2.000000,2.000000,361.459127,0.000000,0.169373,0.000000,0.000000,0.000832,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,119164,31.000000,2.000000,4.000000,696.617411,0.000000,0.272430,0.000000,0.000000,0.001347,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,137842,41.000000,2.000000,2.000000,363.708262,0.000000,0.242235,0.000000,0.000000,0.001196,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,148877,53.000000,2.000000,1.000000,187.726125,0.000000,0.155402,0.000000,0.000000,0.000761,148877.000000,3.773585
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,151959,37.000000,2.000000,3.000000,538.303569,0.000000,0.330858,0.000000,0.000000,0.001639,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,157216,34.000000,2.000000,4.000000,765.436483,0.000000,0.447280,0.000000,0.000000,0.002220,39304.000000,5.882353
