GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1.000000,64000.000000,0.000000,6.525755,0.000000,0.000000,0.032610,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1.000000,64000.000000,0.000000,6.519346,0.000000,0.000000,0.032578,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1.000000,64000.000000,0.000000,7.486178,0.000000,0.000000,0.037412,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1.000000,64000.000000,0.000000,8.382793,0.000000,0.000000,0.041894,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1.000000,64000.000000,0.000000,9.167946,0.000000,0.000000,0.045821,64000.000000,25.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1.000000,64000.000000,0.000000,9.466889,0.000000,0.000000,0.047315,64000.000000,30.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1.000000,64000.000000,0.000000,9.676192,0.000000,0.000000,0.048362,64000.000000,35.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,16.000000,1.000000,64000.000000,0.000000,9.718749,0.000000,0.000000,0.048575,64000.000000,40.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,18.000000,1.000000,64000.000000,0.000000,9.835719,0.000000,0.000000,0.049160,64000.000000,45.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,9.890835,0.000000,0.000000,0.049435,64000.000000,50.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,10.372963,0.000000,0.000000,0.051845,64000.000000,55.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,10.420287,0.000000,0.000000,0.052082,64000.000000,60.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,10.281618,0.000000,0.000000,0.051389,64000.000000,65.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,10.264915,0.000000,0.000000,0.051306,64000.000000,70.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,10.523411,0.000000,0.000000,0.052598,64000.000000,75.000000
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,10.431536,0.000000,0.000000,0.052139,64000.000000,80.000000
