GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.094629,0.000000,0.000000,0.005455,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,1.976810,0.000000,0.000000,0.009866,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,2.975812,0.000000,0.000000,0.014861,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,3.916103,0.000000,0.000000,0.019562,39304.000000,5.882353
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.042842,0.000000,0.000000,0.025196,50653.000000,5.405405
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,5.898435,0.000000,0.000000,0.029474,59319.000000,5.128205
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,6.879228,0.000000,0.000000,0.034377,68921.000000,4.878049
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,7.901137,0.000000,0.000000,0.039487,79507.000000,4.651163
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,13.318253,0.000000,0.000000,0.066572,91125.000000,4.444444
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,14.223089,0.000000,0.000000,0.071096,97336.000000,4.347826
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,195112,58.000000,2.000000,1.000000,195112.000000,0.000000,44.018256,0.000000,0.000000,0.220070,195112.000000,3.448276
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,300763,67.000000,2.000000,1.000000,300763.000000,0.000000,97.229370,0.000000,0.000000,0.486124,300763.000000,2.985075
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,405224,74.000000,2.000000,1.000000,405224.000000,0.000000,168.480728,0.000000,0.000000,0.842379,405224.000000,2.702703
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,493039,79.000000,2.000000,1.000000,493039.000000,0.000000,244.937276,0.000000,0.000000,1.224660,493039.000000,2.531646
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,592704,84.000000,2.000000,1.000000,592704.000000,0.000000,347.079519,0.000000,0.000000,1.735368,592704.000000,2.380952
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,704969,89.000000,2.000000,1.000000,704969.000000,0.000000,512.769287,0.000000,0.000000,2.563816,704969.000000,2.247191
