GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,193.737696,0.000000,0.094344,0.000000,0.000000,0.000453,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,193.737696,0.000000,0.082071,0.000000,0.000000,0.000392,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,193.737696,0.000000,0.075362,0.000000,0.000000,0.000358,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,193.737676,0.000000,0.071547,0.000000,0.000000,0.000339,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,193.737686,0.000000,0.070510,0.000000,0.000000,0.000334,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,193.737676,0.000000,0.070082,0.000000,0.000000,0.000332,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,50,1.000000,193.737681,0.000000,0.070318,0.000000,0.000000,0.000334,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,100,1.000000,193.737676,0.000000,0.070845,0.000000,0.000000,0.000336,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,200,1.000000,193.737666,0.000000,0.071745,0.000000,0.000000,0.000341,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1.000000,1396.787231,0.000000,0.420634,0.000000,0.000000,0.002085,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.000000,0.307303,0.000000,0.000000,0.001518,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.000000,0.302709,0.000000,0.000000,0.001495,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.000000,0.299583,0.000000,0.000000,0.001480,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,10,1.000000,1396.787231,0.000000,0.298535,0.000000,0.000000,0.001475,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.000000,0.298180,0.000000,0.000000,0.001473,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.000000,0.298124,0.000000,0.000000,0.001472,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.000000,0.298119,0.000000,0.000000,0.001472,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.000000,0.298434,0.000000,0.000000,0.001474,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1.000000,3722.180257,0.000000,1.009901,0.000000,0.000000,0.005031,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1.000000,3722.180257,0.000000,0.798014,0.000000,0.000000,0.003972,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.000000,0.793604,0.000000,0.000000,0.003950,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,5,1.000000,3722.180257,0.000000,0.790763,0.000000,0.000000,0.003935,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,10,1.000000,3722.180257,0.000000,0.789319,0.000000,0.000000,0.003928,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,20,1.000000,3722.180338,0.000000,0.787899,0.000000,0.000000,0.003921,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,50,1.000000,3722.180338,0.000000,0.788080,0.000000,0.000000,0.003922,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,100,1.000000,3722.180094,0.000000,0.788105,0.000000,0.000000,0.003922,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,200,1.000000,3722.180176,0.000000,0.788080,0.000000,0.000000,0.003922,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1.000000,8960.027018,0.000000,2.351433,0.000000,0.000000,0.011739,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1.000000,8960.027018,0.000000,2.033454,0.000000,0.000000,0.010147,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,2,1.000000,8960.027018,0.000000,2.028433,0.000000,0.000000,0.010124,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,5,1.000000,8960.027018,0.000000,2.024985,0.000000,0.000000,0.010106,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,10,1.000000,8960.027018,0.000000,2.023331,0.000000,0.000000,0.010098,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,20,1.000000,8960.027018,0.000000,2.021576,0.000000,0.000000,0.010089,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,50,1.000000,8960.027018,0.000000,2.031950,0.000000,0.000000,0.010141,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,100,1.000000,8960.027018,0.000000,2.036607,0.000000,0.000000,0.010164,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.000000,2.049358,0.000000,0.000000,0.010228,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1.000000,193.737676,0.008667,0.076745,0.000000,0.000000,0.000365,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1.000000,193.737696,0.009000,0.066050,0.000000,0.000000,0.000312,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,1.000000,193.737676,0.009000,0.059831,0.000000,0.000000,0.000281,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,5,1.000000,193.737701,0.008667,0.055916,0.000000,0.000000,0.000262,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,10,1.000000,193.737696,0.009000,0.054916,0.000000,0.000000,0.000256,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,20,1.000000,193.737691,0.009000,0.054492,0.000000,0.000000,0.000255,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,50,1.000000,193.737696,0.009000,0.054947,0.000000,0.000000,0.000256,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,100,1.000000,193.737701,0.008667,0.055464,0.000000,0.000000,0.000259,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,200,1.000000,193.737712,0.008667,0.056735,0.000000,0.000000,0.000265,64000.000000,5.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1.000000,1396.787231,0.009667,0.321406,0.000000,0.000000,0.001588,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.009000,0.212482,0.000000,0.000000,0.001044,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.009000,0.207940,0.000000,0.000000,0.001021,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.008667,0.204820,0.000000,0.000000,0.001006,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,10,1.000000,1396.787231,0.008667,0.203639,0.000000,0.000000,0.001000,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.008667,0.203334,0.000000,0.000000,0.000998,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.008667,0.203546,0.000000,0.000000,0.001000,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.009000,0.203347,0.000000,0.000000,0.000998,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.009000,0.203400,0.000000,0.000000,0.000999,64000.000000,10.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1.000000,3722.180420,0.009000,0.773426,0.000000,0.000000,0.003849,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1.000000,3722.180094,0.009000,0.542633,0.000000,0.000000,0.002695,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.009333,0.537934,0.000000,0.000000,0.002671,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,5,1.000000,3722.180338,0.009000,0.535442,0.000000,0.000000,0.002659,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,10,1.000000,3722.180257,0.009000,0.534090,0.000000,0.000000,0.002652,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,20,1.000000,3722.180338,0.009000,0.532921,0.000000,0.000000,0.002646,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,50,1.000000,3722.180094,0.009000,0.535611,0.000000,0.000000,0.002660,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,100,1.000000,3722.180338,0.009000,0.537996,0.000000,0.000000,0.002672,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,200,1.000000,3722.180338,0.009000,0.538057,0.000000,0.000000,0.002672,64000.000000,15.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1.000000,8960.027018,0.009333,1.690953,0.000000,0.000000,0.008436,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1.000000,8960.027018,0.009333,1.351590,0.000000,0.000000,0.006739,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,2,1.000000,8960.027018,0.009000,1.347251,0.000000,0.000000,0.006716,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,5,1.000000,8960.027018,0.009000,1.342147,0.000000,0.000000,0.006692,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,10,1.000000,8960.027018,0.009000,1.340806,0.000000,0.000000,0.006686,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,20,1.000000,8960.027018,0.009333,1.341688,0.000000,0.000000,0.006690,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,50,1.000000,8960.027018,0.009333,1.352270,0.000000,0.000000,0.006743,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,100,1.000000,8960.027018,0.009000,1.360356,0.000000,0.000000,0.006783,64000.000000,20.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.009000,1.369410,0.000000,0.000000,0.006828,64000.000000,20.000000
