GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066294,0.000000,0.072978,0.000000,0.000000,0.000347,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547851,0.000000,0.071026,0.000000,0.000000,0.000337,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599599,0.000000,0.109430,0.000000,0.000000,0.000529,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234202,0.000000,0.072925,0.000000,0.000000,0.000347,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622213,0.000000,0.146344,0.000000,0.000000,0.000713,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968140,0.000000,0.078756,0.000000,0.000000,0.000375,39304.000000,5.882353
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339437,0.000000,0.108327,0.000000,0.000000,0.000523,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164123,0.000000,0.183078,0.000000,0.000000,0.000897,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532252,0.000000,0.078608,0.000000,0.000000,0.000375,50653.000000,5.405405
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241628,0.000000,0.142988,0.000000,0.000000,0.000697,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321106,0.000000,0.077732,0.000000,0.000000,0.000370,59319.000000,5.128205
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719279,0.000000,0.109253,0.000000,0.000000,0.000528,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674149,0.000000,0.083612,0.000000,0.000000,0.000400,68921.000000,4.878049
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408183,0.000000,0.139148,0.000000,0.000000,0.000678,39304.000000,5.882353
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367391,0.000000,0.213325,0.000000,0.000000,0.001048,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616598,0.000000,0.091776,0.000000,0.000000,0.000440,79507.000000,4.651163
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849467,0.000000,0.175597,0.000000,0.000000,0.000860,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291758,0.000000,0.091312,0.000000,0.000000,0.000438,91125.000000,4.444444
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207504,0.000000,0.095406,0.000000,0.000000,0.000458,97336.000000,4.347826
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,101306,37.000000,2.000000,2.000000,358.023081,0.000000,0.140661,0.000000,0.000000,0.000685,50653.000000,5.405405
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,117912,34.000000,2.000000,3.000000,573.043803,0.000000,0.193008,0.000000,0.000000,0.000946,39304.000000,5.882353
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,118638,39.000000,2.000000,2.000000,361.459167,0.000000,0.142104,0.000000,0.000000,0.000692,59319.000000,5.128205
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,119164,31.000000,2.000000,4.000000,696.617371,0.000000,0.224481,0.000000,0.000000,0.001104,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,137842,41.000000,2.000000,2.000000,363.708232,0.000000,0.184440,0.000000,0.000000,0.000903,68921.000000,4.878049
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,148877,53.000000,2.000000,1.000000,187.726105,0.000000,0.131851,0.000000,0.000000,0.000640,148877.000000,3.773585
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,151959,37.000000,2.000000,3.000000,538.303589,0.000000,0.265407,0.000000,0.000000,0.001308,50653.000000,5.405405
