GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,1.000000,64000.000000,0.000000,6.359372,0.000000,0.000000,0.031780,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,4.000000,1.000000,64000.000000,0.000000,6.481249,0.000000,0.000000,0.032390,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,6.000000,1.000000,64000.000000,0.000000,7.319614,0.000000,0.000000,0.036581,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,8.000000,1.000000,64000.000000,0.000000,8.376517,0.000000,0.000000,0.041866,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,10.000000,1.000000,64000.000000,0.000000,9.130426,0.000000,0.000000,0.045636,64000.000000,25.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,12.000000,1.000000,64000.000000,0.000000,9.463632,0.000000,0.000000,0.047301,64000.000000,30.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,14.000000,1.000000,64000.000000,0.000000,9.582952,0.000000,0.000000,0.047898,64000.000000,35.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,16.000000,1.000000,64000.000000,0.000000,9.705358,0.000000,0.000000,0.048509,64000.000000,40.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,18.000000,1.000000,64000.000000,0.000000,9.821656,0.000000,0.000000,0.049090,64000.000000,45.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,9.877175,0.000000,0.000000,0.049369,64000.000000,50.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,9.898062,0.000000,0.000000,0.049472,64000.000000,55.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,9.907642,0.000000,0.000000,0.049521,64000.000000,60.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,9.915015,0.000000,0.000000,0.049558,64000.000000,65.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,9.920780,0.000000,0.000000,0.049587,64000.000000,70.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,9.922139,0.000000,0.000000,0.049594,64000.000000,75.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,9.921390,0.000000,0.000000,0.049590,64000.000000,80.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,34.000000,1.000000,64000.000000,0.000000,9.914387,0.000000,0.000000,0.049555,64000.000000,85.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,36.000000,1.000000,64000.000000,0.000000,9.981675,0.000000,0.000000,0.049891,64000.000000,90.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,38.000000,1.000000,64000.000000,0.000000,9.985421,0.000000,0.000000,0.049910,64000.000000,95.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,40.000000,1.000000,64000.000000,0.000000,9.950227,0.000000,0.000000,0.049734,64000.000000,100.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1.000000,64000.000000,0.009333,3.147283,0.000000,0.000000,0.015720,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1.000000,64000.000000,0.009667,3.208562,0.000000,0.000000,0.016026,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1.000000,64000.000000,0.009333,4.069859,0.000000,0.000000,0.020332,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1.000000,64000.000000,0.009667,5.160635,0.000000,0.000000,0.025786,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1.000000,64000.000000,0.009667,5.940625,0.000000,0.000000,0.029686,64000.000000,25.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1.000000,64000.000000,0.009667,6.283466,0.000000,0.000000,0.031400,64000.000000,30.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,14.000000,1.000000,64000.000000,0.009667,6.414285,0.000000,0.000000,0.032053,64000.000000,35.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,16.000000,1.000000,64000.000000,0.010333,6.563342,0.000000,0.000000,0.032800,64000.000000,40.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,18.000000,1.000000,64000.000000,0.009667,6.654778,0.000000,0.000000,0.033257,64000.000000,45.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,20.000000,1.000000,64000.000000,0.009667,6.685417,0.000000,0.000000,0.033410,64000.000000,50.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,22.000000,1.000000,64000.000000,0.009667,6.695669,0.000000,0.000000,0.033461,64000.000000,55.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,24.000000,1.000000,64000.000000,0.010000,6.699532,0.000000,0.000000,0.033480,64000.000000,60.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,26.000000,1.000000,64000.000000,0.009333,6.701136,0.000000,0.000000,0.033488,64000.000000,65.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,28.000000,1.000000,64000.000000,0.009333,6.702086,0.000000,0.000000,0.033493,64000.000000,70.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,30.000000,1.000000,64000.000000,0.009333,6.700181,0.000000,0.000000,0.033484,64000.000000,75.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,32.000000,1.000000,64000.000000,0.009667,6.842813,0.000000,0.000000,0.034197,64000.000000,80.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,34.000000,1.000000,64000.000000,0.009333,6.844663,0.000000,0.000000,0.034206,64000.000000,85.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,36.000000,1.000000,64000.000000,0.010000,6.832616,0.000000,0.000000,0.034146,64000.000000,90.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,38.000000,1.000000,64000.000000,0.009333,6.851791,0.000000,0.000000,0.034242,64000.000000,95.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,64000,40.000000,40.000000,1.000000,64000.000000,0.009667,6.815532,0.000000,0.000000,0.034061,64000.000000,100.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1.000000,193.737701,0.000000,0.078353,0.000000,0.000000,0.000376,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1.000000,1396.787231,0.000000,0.304380,0.000000,0.000000,0.001506,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1.000000,3722.180257,0.000000,0.795849,0.000000,0.000000,0.003963,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1.000000,8960.027018,0.000000,2.028002,0.000000,0.000000,0.010123,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,10.000000,1.000000,15570.158528,0.000000,3.576554,0.000000,0.000000,0.017866,64000.000000,25.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,12.000000,1.000000,15709.303711,0.000000,3.821776,0.000000,0.000000,0.019092,64000.000000,30.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,14.000000,1.000000,30067.066406,0.000000,8.500419,0.000000,0.000000,0.042485,64000.000000,35.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,16.000000,1.000000,30243.493490,0.000000,8.890385,0.000000,0.000000,0.044435,64000.000000,40.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,18.000000,1.000000,30373.875651,0.000000,9.177810,0.000000,0.000000,0.045870,64000.000000,45.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,8.829910,0.000000,0.000000,0.044132,64000.000000,50.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,9.040011,0.000000,0.000000,0.045183,64000.000000,55.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,9.159628,0.000000,0.000000,0.045781,64000.000000,60.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,9.231973,0.000000,0.000000,0.046143,64000.000000,65.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,9.282418,0.000000,0.000000,0.046395,64000.000000,70.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,9.325348,0.000000,0.000000,0.046609,64000.000000,75.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,9.523099,0.000000,0.000000,0.047598,64000.000000,80.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,34.000000,1.000000,64000.000000,0.000000,9.537380,0.000000,0.000000,0.047669,64000.000000,85.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,36.000000,1.000000,64000.000000,0.000000,9.504056,0.000000,0.000000,0.047503,64000.000000,90.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,38.000000,1.000000,64000.000000,0.000000,9.534568,0.000000,0.000000,0.047656,64000.000000,95.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,40.000000,1.000000,64000.000000,0.000000,9.547230,0.000000,0.000000,0.047719,64000.000000,100.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1.000000,193.737686,0.009333,0.062836,0.000000,0.000000,0.000298,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1.000000,1396.787231,0.009333,0.209631,0.000000,0.000000,0.001032,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1.000000,3722.180338,0.009333,0.540316,0.000000,0.000000,0.002685,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1.000000,8960.027344,0.009333,1.347382,0.000000,0.000000,0.006719,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1.000000,15570.160482,0.009333,2.311104,0.000000,0.000000,0.011539,64000.000000,25.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1.000000,15709.303060,0.009667,2.470476,0.000000,0.000000,0.012335,64000.000000,30.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,14.000000,1.000000,30067.066406,0.010000,5.400494,0.000000,0.000000,0.026985,64000.000000,35.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,16.000000,1.000000,30243.492839,0.009667,5.776876,0.000000,0.000000,0.028867,64000.000000,40.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,18.000000,1.000000,30373.875000,0.009333,6.015313,0.000000,0.000000,0.030059,64000.000000,45.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,20.000000,1.000000,64000.000000,0.009667,5.640374,0.000000,0.000000,0.028185,64000.000000,50.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,22.000000,1.000000,64000.000000,0.009667,5.834944,0.000000,0.000000,0.029158,64000.000000,55.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,24.000000,1.000000,64000.000000,0.009333,5.948330,0.000000,0.000000,0.029724,64000.000000,60.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,26.000000,1.000000,64000.000000,0.009667,6.014621,0.000000,0.000000,0.030055,64000.000000,65.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,28.000000,1.000000,64000.000000,0.009333,6.060688,0.000000,0.000000,0.030286,64000.000000,70.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,30.000000,1.000000,64000.000000,0.010000,6.404148,0.000000,0.000000,0.032003,64000.000000,75.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,32.000000,1.000000,64000.000000,0.010000,6.402656,0.000000,0.000000,0.031996,64000.000000,80.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,34.000000,1.000000,64000.000000,0.010333,6.449827,0.000000,0.000000,0.032232,64000.000000,85.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,36.000000,1.000000,64000.000000,0.010000,6.519934,0.000000,0.000000,0.032580,64000.000000,90.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,38.000000,1.000000,64000.000000,0.010333,6.472025,0.000000,0.000000,0.032343,64000.000000,95.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,40.000000,1.000000,64000.000000,0.010000,6.499927,0.000000,0.000000,0.032482,64000.000000,100.000000
