GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.099018,0.000000,0.000000,0.005479,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,1.977487,0.000000,0.000000,0.009871,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,2.982700,0.000000,0.000000,0.014897,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,3.908139,0.000000,0.000000,0.019524,39304.000000,5.882353
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.019330,0.000000,0.000000,0.025080,50653.000000,5.405405
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,5.896035,0.000000,0.000000,0.029463,59319.000000,5.128205
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,6.846893,0.000000,0.000000,0.034218,68921.000000,4.878049
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,7.900092,0.000000,0.000000,0.039484,79507.000000,4.651163
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,13.282897,0.000000,0.000000,0.066397,91125.000000,4.444444
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,14.230616,0.000000,0.000000,0.071136,97336.000000,4.347826
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,195112,58.000000,2.000000,1.000000,195112.000000,0.000000,43.558641,0.000000,0.000000,0.217774,195112.000000,3.448276
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,300763,67.000000,2.000000,1.000000,300763.000000,0.000000,90.493032,0.000000,0.000000,0.452445,300763.000000,2.985075
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,405224,74.000000,2.000000,1.000000,405224.000000,0.000000,159.687398,0.000000,0.000000,0.798416,405224.000000,2.702703
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,493039,79.000000,2.000000,1.000000,493039.000000,0.000000,233.249481,0.000000,0.000000,1.166224,493039.000000,2.531646
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,592704,84.000000,2.000000,1.000000,592704.000000,0.000000,331.653076,0.000000,0.000000,1.658240,592704.000000,2.380952
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,704969,89.000000,2.000000,1.000000,704969.000000,0.000000,488.764201,0.000000,0.000000,2.443792,704969.000000,2.247191
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,804357,93.000000,2.000000,1.000000,804357.000000,0.000000,624.943054,0.000000,0.000000,3.124685,804357.000000,2.150538
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,912673,97.000000,2.000000,1.000000,912673.000000,0.000000,789.655578,0.000000,0.000000,3.948248,912673.000000,2.061856
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.000000,944.220662,0.000000,0.000000,4.721072,1000000.000000,2.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1.000000,10648.000000,1.752000,0.550749,0.000000,0.000000,0.002737,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1.000000,19683.000000,0.009667,0.979593,0.000000,0.000000,0.004882,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1.000000,29791.000000,0.009667,1.475426,0.000000,0.000000,0.007361,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1.000000,39304.000000,0.009333,1.933572,0.000000,0.000000,0.009652,39304.000000,5.882353
