GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,193.737686,0.000000,0.090073,0.000000,0.000000,0.000435,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,193.737686,0.000000,0.078370,0.000000,0.000000,0.000376,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,193.737691,0.000000,0.072479,0.000000,0.000000,0.000346,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,193.737676,0.000000,0.069234,0.000000,0.000000,0.000330,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,193.737691,0.000000,0.068051,0.000000,0.000000,0.000324,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,193.737696,0.000000,0.067694,0.000000,0.000000,0.000323,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,50,1.000000,193.737696,0.000000,0.068245,0.000000,0.000000,0.000325,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,100,1.000000,193.737707,0.000000,0.068514,0.000000,0.000000,0.000327,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,200,1.000000,193.737707,0.000000,0.069403,0.000000,0.000000,0.000331,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,0,1.000000,1396.787231,0.000000,0.402884,0.000000,0.000000,0.001999,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.000000,0.304556,0.000000,0.000000,0.001507,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.000000,0.299887,0.000000,0.000000,0.001483,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.000000,0.297315,0.000000,0.000000,0.001471,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,10,1.000000,1396.787231,0.000000,0.296310,0.000000,0.000000,0.001466,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.000000,0.295812,0.000000,0.000000,0.001463,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,50,1.000000,1396.787150,0.000000,0.295763,0.000000,0.000000,0.001463,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.000000,0.295799,0.000000,0.000000,0.001463,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.000000,0.295662,0.000000,0.000000,0.001462,64000.000000,10.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,0,1.000000,3722.180257,0.000000,0.989529,0.000000,0.000000,0.004932,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1,1.000000,3722.180338,0.000000,0.795810,0.000000,0.000000,0.003963,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.000000,0.790973,0.000000,0.000000,0.003939,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,5,1.000000,3722.180094,0.000000,0.788319,0.000000,0.000000,0.003925,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,10,1.000000,3722.180257,0.000000,0.787357,0.000000,0.000000,0.003921,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,20,1.000000,3722.180338,0.000000,0.785590,0.000000,0.000000,0.003912,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,50,1.000000,3722.180257,0.000000,0.785767,0.000000,0.000000,0.003913,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,100,1.000000,3722.180338,0.000000,0.785645,0.000000,0.000000,0.003912,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,6.000000,200,1.000000,3722.180338,0.000000,0.785278,0.000000,0.000000,0.003911,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,0,1.000000,8960.027344,0.000000,2.333944,0.000000,0.000000,0.011653,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1,1.000000,8960.027018,0.000000,2.028287,0.000000,0.000000,0.010125,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,2,1.000000,8960.027018,0.000000,2.023799,0.000000,0.000000,0.010103,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,5,1.000000,8960.027018,0.000000,2.020145,0.000000,0.000000,0.010084,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,10,1.000000,8960.027344,0.000000,2.019129,0.000000,0.000000,0.010080,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,20,1.000000,8960.027344,0.000000,2.017406,0.000000,0.000000,0.010071,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,50,1.000000,8960.027018,0.000000,2.026966,0.000000,0.000000,0.010118,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,100,1.000000,8960.027018,0.000000,2.031998,0.000000,0.000000,0.010143,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.000000,2.044765,0.000000,0.000000,0.010207,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1.000000,193.737681,0.009000,0.073244,0.000000,0.000000,0.000350,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1.000000,193.737707,0.009000,0.062993,0.000000,0.000000,0.000298,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,1.000000,193.737696,0.009000,0.056975,0.000000,0.000000,0.000269,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,5,1.000000,193.737691,0.009000,0.053752,0.000000,0.000000,0.000253,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,10,1.000000,193.737681,0.009000,0.052521,0.000000,0.000000,0.000247,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,20,1.000000,193.737691,0.009000,0.052047,0.000000,0.000000,0.000245,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,50,1.000000,193.737686,0.008333,0.052867,0.000000,0.000000,0.000248,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,100,1.000000,193.737696,0.008667,0.053285,0.000000,0.000000,0.000250,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,200,1.000000,193.737707,0.008667,0.054319,0.000000,0.000000,0.000256,64000.000000,5.000000
