GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,0.000725,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,0.000315,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,0.000318,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,3,1.000000,0.000313,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,4,1.000000,0.000318,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,0.000319,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,6,1.000000,0.000319,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,7,1.000000,0.000313,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,8,1.000000,0.000319,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,9,1.000000,0.000313,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,0.000333,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,11,1.000000,0.000313,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,12,1.000000,0.000320,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,64000,40.000000,2.000000,13,1.000000,0.000313,64000.000000,5.000000
