GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066289,0.000000,0.069057,0.000000,0.000000,0.000329,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547816,0.000000,0.067721,0.000000,0.000000,0.000322,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599599,0.000000,0.106958,0.000000,0.000000,0.000518,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234202,0.000000,0.070371,0.000000,0.000000,0.000336,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622233,0.000000,0.143706,0.000000,0.000000,0.000702,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968165,0.000000,0.075573,0.000000,0.000000,0.000362,39304.000000,5.882353
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339437,0.000000,0.104860,0.000000,0.000000,0.000508,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164164,0.000000,0.179551,0.000000,0.000000,0.000881,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532257,0.000000,0.075208,0.000000,0.000000,0.000360,50653.000000,5.405405
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241597,0.000000,0.139918,0.000000,0.000000,0.000683,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321126,0.000000,0.075273,0.000000,0.000000,0.000360,59319.000000,5.128205
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719249,0.000000,0.105917,0.000000,0.000000,0.000513,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674154,0.000000,0.081300,0.000000,0.000000,0.000390,68921.000000,4.878049
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408162,0.000000,0.137204,0.000000,0.000000,0.000670,39304.000000,5.882353
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367411,0.000000,0.211028,0.000000,0.000000,0.001039,19683.000000,7.407407
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616592,0.000000,0.088385,0.000000,0.000000,0.000426,79507.000000,4.651163
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849446,0.000000,0.172505,0.000000,0.000000,0.000847,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291758,0.000000,0.087793,0.000000,0.000000,0.000423,91125.000000,4.444444
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207535,0.000000,0.092379,0.000000,0.000000,0.000446,97336.000000,4.347826
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,101306,37.000000,2.000000,2.000000,358.023081,0.000000,0.137333,0.000000,0.000000,0.000670,50653.000000,5.405405
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,117912,34.000000,2.000000,3.000000,573.043762,0.000000,0.190612,0.000000,0.000000,0.000936,39304.000000,5.882353
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,118638,39.000000,2.000000,2.000000,361.459117,0.000000,0.138742,0.000000,0.000000,0.000677,59319.000000,5.128205
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,119164,31.000000,2.000000,4.000000,696.617350,0.000000,0.220712,0.000000,0.000000,0.001088,29791.000000,6.451613
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,137842,41.000000,2.000000,2.000000,363.708262,0.000000,0.181869,0.000000,0.000000,0.000893,68921.000000,4.878049
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,148877,53.000000,2.000000,1.000000,187.726130,0.000000,0.127612,0.000000,0.000000,0.000621,148877.000000,3.773585
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,151959,37.000000,2.000000,3.000000,538.303609,0.000000,0.262804,0.000000,0.000000,0.001298,50653.000000,5.405405
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,157216,34.000000,2.000000,4.000000,765.436524,0.000000,0.360905,0.000000,0.000000,0.001788,39304.000000,5.882353
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,159014,43.000000,2.000000,2.000000,366.325623,0.000000,0.203183,0.000000,0.000000,0.000999,79507.000000,4.651163
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,177957,39.000000,2.000000,3.000000,542.907165,0.000000,0.274034,0.000000,0.000000,0.001353,59319.000000,5.128205
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,182250,45.000000,2.000000,2.000000,368.379171,0.000000,0.215043,0.000000,0.000000,0.001058,91125.000000,4.444444
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,194672,46.000000,2.000000,2.000000,392.133128,0.000000,0.227698,0.000000,0.000000,0.001121,97336.000000,4.347826
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959488,0.000000,0.141881,0.000000,0.000000,0.000692,195112.000000,3.448276
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,202612,37.000000,2.000000,4.000000,718.385315,0.000000,0.374370,0.000000,0.000000,0.001855,50653.000000,5.405405
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,206763,41.000000,2.000000,3.000000,546.301453,0.000000,0.315190,0.000000,0.000000,0.001559,68921.000000,4.878049
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,237276,39.000000,2.000000,4.000000,724.983215,0.000000,0.410738,0.000000,0.000000,0.002037,59319.000000,5.128205
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,238521,43.000000,2.000000,3.000000,550.330933,0.000000,0.335768,0.000000,0.000000,0.001662,79507.000000,4.651163
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,250047,63.000000,2.000000,1.000000,191.353353,0.000000,0.154112,0.000000,0.000000,0.000753,250047.000000,3.174603
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,273375,45.000000,2.000000,3.000000,553.724609,0.000000,0.360847,0.000000,0.000000,0.001787,91125.000000,4.444444
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,275684,41.000000,2.000000,4.000000,729.369792,0.000000,0.489127,0.000000,0.000000,0.002428,68921.000000,4.878049
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,292008,46.000000,2.000000,3.000000,589.240438,0.000000,0.414759,0.000000,0.000000,0.002057,97336.000000,4.347826
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,297754,53.000000,2.000000,2.000000,375.539866,0.000000,0.303561,0.000000,0.000000,0.001501,148877.000000,3.773585
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,300763,67.000000,2.000000,1.000000,192.584834,0.000000,0.188776,0.000000,0.000000,0.000926,300763.000000,2.985075
