GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_ms_rtc,mean_ms_simulation,mean_ms_init,mean_ms_exit,mean_ms_step_mean,env_volume
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,1.000,10648.000,0.003,1019.906,0.002,0.002,10.192,10648.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,1.000,19683.000,0.002,1659.396,0.002,0.002,16.586,19683.000
TITAN V,1,0,circles_bruteforce,100,29791,31.000,2.000,1.000,29791.000,0.002,2366.484,0.002,0.002,23.657,29791.000
TITAN V,1,0,circles_bruteforce,100,39304,34.000,2.000,1.000,39304.000,0.002,3031.385,0.002,0.002,30.306,39304.000
TITAN V,1,0,circles_bruteforce,100,50653,37.000,2.000,1.000,50653.000,0.003,4863.433,0.002,0.002,48.627,50653.000
TITAN V,1,0,circles_bruteforce,100,59319,39.000,2.000,1.000,59319.000,0.002,5638.852,0.002,0.002,56.381,59319.000
TITAN V,1,0,circles_bruteforce,100,68921,41.000,2.000,1.000,68921.000,0.002,6491.781,0.002,0.002,64.910,68921.000
TITAN V,1,0,circles_bruteforce,100,79507,43.000,2.000,1.000,79507.000,0.003,7429.671,0.002,0.002,74.289,79507.000
TITAN V,1,0,circles_bruteforce,100,91125,45.000,2.000,1.000,91125.000,0.002,8462.888,0.002,0.002,84.621,91125.000
TITAN V,1,0,circles_bruteforce,100,97336,46.000,2.000,1.000,97336.000,0.002,16302.391,0.002,0.002,163.016,97336.000
TITAN V,1,0,circles_bruteforce,100,195112,58.000,2.000,1.000,195112.000,0.003,50833.272,0.002,0.002,508.325,195112.000
TITAN V,1,0,circles_bruteforce,100,300763,67.000,2.000,1.000,300763.000,0.003,108025.992,0.002,0.002,1080.251,300763.000
TITAN V,1,0,circles_bruteforce,100,405224,74.000,2.000,1.000,405224.000,0.003,181531.599,0.002,0.002,1815.307,405224.000
TITAN V,1,0,circles_bruteforce,100,493039,79.000,2.000,1.000,493039.000,0.003,264806.656,0.002,0.002,2648.058,493039.000
TITAN V,1,0,circles_bruteforce,100,592704,84.000,2.000,1.000,592704.000,0.004,371195.396,0.002,0.002,3711.944,592704.000
TITAN V,1,0,circles_bruteforce,100,704969,89.000,2.000,1.000,704969.000,0.004,508086.958,0.002,0.002,5080.859,704969.000
TITAN V,1,0,circles_bruteforce,100,804357,93.000,2.000,1.000,804357.000,0.003,654151.437,0.002,0.002,6541.504,804357.000
TITAN V,1,0,circles_bruteforce,100,912673,97.000,2.000,1.000,912673.000,0.004,830420.396,0.002,0.002,8304.192,912673.000
TITAN V,1,0,circles_bruteforce,100,1000000,100.000,2.000,1.000,1000000.000,0.004,997507.479,0.002,0.002,9975.066,1000000.000
TITAN V,1,0,circles_bruteforce_rtc,100,10648,22.000,2.000,1.000,10648.000,7.705,487.151,0.002,0.002,4.864,10648.000
TITAN V,1,0,circles_bruteforce_rtc,100,19683,27.000,2.000,1.000,19683.000,7.687,724.643,0.002,0.002,7.239,19683.000
TITAN V,1,0,circles_bruteforce_rtc,100,29791,31.000,2.000,1.000,29791.000,7.814,979.857,0.002,0.002,9.791,29791.000
TITAN V,1,0,circles_bruteforce_rtc,100,39304,34.000,2.000,1.000,39304.000,7.859,1219.013,0.002,0.002,12.183,39304.000
