GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_ms_step,env_volume
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,0,1.000,10.476,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,1,1.000,10.107,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,2,1.000,10.099,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,3,1.000,10.104,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,4,1.000,10.109,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,5,1.000,10.114,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,6,1.000,10.119,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,7,1.000,10.125,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,8,1.000,10.130,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,9,1.000,10.133,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,10,1.000,10.139,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,11,1.000,10.147,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,12,1.000,10.153,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,13,1.000,10.164,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,14,1.000,10.168,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,15,1.000,9.917,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,16,1.000,9.871,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,17,1.000,9.882,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,18,1.000,9.889,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,19,1.000,9.890,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,20,1.000,9.897,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,21,1.000,9.908,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,22,1.000,9.914,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,23,1.000,9.920,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,24,1.000,9.924,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,25,1.000,9.937,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,26,1.000,9.940,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,27,1.000,9.946,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,28,1.000,9.954,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,29,1.000,9.958,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,30,1.000,9.969,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,31,1.000,9.979,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,32,1.000,9.980,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,33,1.000,9.957,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,34,1.000,9.961,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,35,1.000,9.971,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,36,1.000,9.978,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,37,1.000,9.985,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,38,1.000,9.989,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,39,1.000,9.994,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,40,1.000,9.989,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,41,1.000,9.998,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,42,1.000,10.007,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,43,1.000,10.018,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,44,1.000,10.026,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,45,1.000,10.039,10648.000
