GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_ms_rtc,mean_ms_simulation,mean_ms_init,mean_ms_exit,mean_ms_step_mean,env_volume
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,10648,22.000,2.000,1.000,204.687,0.004,176.767,0.003,0.054,0.870,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,19683,27.000,2.000,1.000,189.622,0.005,171.609,0.002,0.057,0.845,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,21296,22.000,2.000,2.000,406.759,0.004,306.988,0.002,0.063,1.521,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,29791,31.000,2.000,1.000,192.588,0.005,214.563,0.002,0.058,1.059,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,31944,22.000,2.000,3.000,609.337,0.005,524.396,0.002,0.070,2.609,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,39304,34.000,2.000,1.000,208.512,0.004,243.433,0.002,0.064,1.203,39304.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,39366,27.000,2.000,2.000,373.882,0.005,377.062,0.002,0.066,1.872,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,42592,22.000,2.000,4.000,807.754,0.005,712.147,0.002,0.067,3.547,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,50653,37.000,2.000,1.000,195.602,0.005,245.852,0.002,0.062,1.216,50653.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,59049,27.000,2.000,3.000,559.421,0.005,965.444,0.002,0.068,4.813,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,59319,39.000,2.000,1.000,196.662,0.006,413.658,0.002,0.066,2.055,59319.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,59582,31.000,2.000,2.000,381.585,0.006,707.099,0.002,0.065,3.521,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,68921,41.000,2.000,1.000,197.881,0.006,434.927,0.003,0.066,2.161,68921.000
