GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_ms_step,env_volume
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,1.081,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,0.744,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,3,1.000,0.735,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,4,1.000,0.738,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,5,1.000,0.735,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,6,1.000,0.738,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,7,1.000,0.736,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,8,1.000,0.737,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,9,1.000,0.738,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,10,1.000,0.740,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,11,1.000,0.738,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,12,1.000,0.742,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,13,1.000,0.740,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,14,1.000,0.738,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,15,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,16,1.000,0.740,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,17,1.000,0.742,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,18,1.000,0.746,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,19,1.000,0.742,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,20,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,21,1.000,0.744,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,22,1.000,0.744,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,23,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,24,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,25,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,26,1.000,0.743,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,27,1.000,0.748,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,28,1.000,0.748,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,29,1.000,0.750,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,30,1.000,0.747,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,31,1.000,0.745,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,32,1.000,0.747,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,33,1.000,0.750,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,34,1.000,0.752,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,35,1.000,0.751,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,36,1.000,0.751,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,37,1.000,0.756,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,38,1.000,0.753,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,39,1.000,0.752,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,40,1.000,0.755,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,41,1.000,0.757,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,42,1.000,0.756,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,43,1.000,0.755,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,44,1.000,0.756,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,45,1.000,0.756,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,46,1.000,0.756,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,47,1.000,0.759,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,48,1.000,0.759,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,49,1.000,0.760,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,50,1.000,0.765,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,51,1.000,0.766,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,52,1.000,0.764,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,53,1.000,0.764,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,54,1.000,0.766,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,55,1.000,0.769,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,56,1.000,0.769,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,57,1.000,0.768,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,58,1.000,0.769,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,59,1.000,0.771,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,60,1.000,0.773,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,61,1.000,0.775,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,62,1.000,0.775,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,63,1.000,0.779,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,64,1.000,0.783,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,65,1.000,0.785,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,66,1.000,0.788,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,67,1.000,0.788,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,68,1.000,0.794,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,69,1.000,0.793,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,70,1.000,0.794,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,71,1.000,0.796,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,72,1.000,0.798,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,73,1.000,0.800,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,74,1.000,0.805,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,75,1.000,0.809,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,76,1.000,0.813,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,77,1.000,0.819,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,78,1.000,0.823,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,79,1.000,0.826,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,80,1.000,0.829,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,81,1.000,0.833,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,82,1.000,0.834,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,83,1.000,0.838,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,84,1.000,0.840,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,85,1.000,0.844,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,86,1.000,0.847,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,87,1.000,0.855,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,88,1.000,0.858,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,89,1.000,0.862,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,90,1.000,0.868,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,91,1.000,0.871,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,92,1.000,0.876,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,93,1.000,0.881,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,94,1.000,0.884,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,95,1.000,0.891,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,96,1.000,0.893,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,97,1.000,0.899,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,98,1.000,0.904,10648.000
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,99,1.000,0.910,10648.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,0,1.000,1.215,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,1,1.000,0.752,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,2,1.000,0.750,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,3,1.000,0.749,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,4,1.000,0.749,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,5,1.000,0.751,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,6,1.000,0.751,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,7,1.000,0.752,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,8,1.000,0.752,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,9,1.000,0.748,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,10,1.000,0.751,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,11,1.000,0.753,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,12,1.000,0.757,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,13,1.000,0.755,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,14,1.000,0.757,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,15,1.000,0.755,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,16,1.000,0.755,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,17,1.000,0.756,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,18,1.000,0.758,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,19,1.000,0.755,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,20,1.000,0.756,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,21,1.000,0.761,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,22,1.000,0.757,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,23,1.000,0.760,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,24,1.000,0.759,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,25,1.000,0.758,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,26,1.000,0.758,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,27,1.000,0.760,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,28,1.000,0.762,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,29,1.000,0.760,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,30,1.000,0.759,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,31,1.000,0.760,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,32,1.000,0.762,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,33,1.000,0.761,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,34,1.000,0.761,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,35,1.000,0.763,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,36,1.000,0.763,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,37,1.000,0.767,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,38,1.000,0.766,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,39,1.000,0.769,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,40,1.000,0.770,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,41,1.000,0.769,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,42,1.000,0.767,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,43,1.000,0.769,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,44,1.000,0.771,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,45,1.000,0.773,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,46,1.000,0.772,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,47,1.000,0.772,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,48,1.000,0.773,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,49,1.000,0.775,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,50,1.000,0.781,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,51,1.000,0.779,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,52,1.000,0.782,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,53,1.000,0.782,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,54,1.000,0.781,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,55,1.000,0.784,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,56,1.000,0.782,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,57,1.000,0.786,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,58,1.000,0.787,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,59,1.000,0.786,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,60,1.000,0.793,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,61,1.000,0.791,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,62,1.000,0.796,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,63,1.000,0.796,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,64,1.000,0.803,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,65,1.000,0.805,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,66,1.000,0.805,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,67,1.000,0.804,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,68,1.000,0.807,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,69,1.000,0.811,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,70,1.000,0.810,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,71,1.000,0.810,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,72,1.000,0.818,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,73,1.000,0.819,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,74,1.000,0.821,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,75,1.000,0.823,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,76,1.000,0.828,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,77,1.000,0.830,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,78,1.000,0.831,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,79,1.000,0.835,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,80,1.000,0.839,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,81,1.000,0.839,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,82,1.000,0.844,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,83,1.000,0.849,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,84,1.000,0.853,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,85,1.000,0.855,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,86,1.000,0.857,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,87,1.000,0.862,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,88,1.000,0.865,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,89,1.000,0.871,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,90,1.000,0.871,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,91,1.000,0.879,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,92,1.000,0.882,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,93,1.000,0.885,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,94,1.000,0.885,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,95,1.000,0.891,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,96,1.000,0.895,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,97,1.000,0.895,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,98,1.000,0.902,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,99,1.000,0.907,19683.000
