GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,1.000,64000.000,0.000,10.587,0.000,0.000,0.053,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,1.000,64000.000,0.000,19.748,0.000,0.000,0.099,64000.000,10.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,1.000,64000.000,0.000,24.128,0.000,0.000,0.121,64000.000,15.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,8.000,1.000,64000.000,0.000,24.713,0.000,0.000,0.124,64000.000,20.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,10.000,1.000,64000.000,0.000,24.873,0.000,0.000,0.124,64000.000,25.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,12.000,1.000,64000.000,0.000,24.749,0.000,0.000,0.124,64000.000,30.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,14.000,1.000,64000.000,0.000,24.733,0.000,0.000,0.124,64000.000,35.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,16.000,1.000,64000.000,0.000,24.683,0.000,0.000,0.124,64000.000,40.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,18.000,1.000,64000.000,0.000,24.733,0.000,0.000,0.124,64000.000,45.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,20.000,1.000,64000.000,0.000,24.793,0.000,0.000,0.124,64000.000,50.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,1.000,64000.000,0.011,5.795,0.000,0.000,0.029,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,1.000,64000.000,0.010,12.895,0.000,0.000,0.064,64000.000,10.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,1.000,64000.000,0.010,17.462,0.000,0.000,0.087,64000.000,15.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,1.000,64000.000,0.011,17.709,0.000,0.000,0.089,64000.000,20.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,1.000,64000.000,0.011,17.662,0.000,0.000,0.088,64000.000,25.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,12.000,1.000,64000.000,0.011,17.623,0.000,0.000,0.088,64000.000,30.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,14.000,1.000,64000.000,0.011,17.604,0.000,0.000,0.088,64000.000,35.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,16.000,1.000,64000.000,0.010,17.610,0.000,0.000,0.088,64000.000,40.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,18.000,1.000,64000.000,0.011,17.603,0.000,0.000,0.088,64000.000,45.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,20.000,1.000,64000.000,0.011,17.599,0.000,0.000,0.088,64000.000,50.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,1.000,209.254,0.000,0.210,0.000,0.000,0.001,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,1.000,1693.334,0.000,1.072,0.000,0.000,0.005,64000.000,10.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,6.000,1.000,4267.624,0.000,2.444,0.000,0.000,0.012,64000.000,15.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,8.000,1.000,9553.424,0.000,5.909,0.000,0.000,0.030,64000.000,20.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,10.000,1.000,15939.721,0.000,10.173,0.000,0.000,0.051,64000.000,25.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,12.000,1.000,15665.462,0.000,10.049,0.000,0.000,0.050,64000.000,30.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,14.000,1.000,30175.507,0.000,23.022,0.000,0.000,0.115,64000.000,35.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,16.000,1.000,30177.346,0.000,23.022,0.000,0.000,0.115,64000.000,40.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,18.000,1.000,30211.338,0.000,23.045,0.000,0.000,0.115,64000.000,45.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,20.000,1.000,64000.000,0.000,23.178,0.000,0.000,0.116,64000.000,50.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,1.000,209.254,0.010,0.142,0.000,0.000,0.001,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,1.000,1693.334,0.010,0.593,0.000,0.000,0.003,64000.000,10.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,1.000,4267.624,0.010,1.280,0.000,0.000,0.006,64000.000,15.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,1.000,9553.425,0.010,2.529,0.000,0.000,0.013,64000.000,20.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,10.000,1.000,15939.721,0.010,4.438,0.000,0.000,0.022,64000.000,25.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,12.000,1.000,15665.462,0.010,4.390,0.000,0.000,0.022,64000.000,30.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,14.000,1.000,30175.507,0.010,9.518,0.000,0.000,0.048,64000.000,35.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,16.000,1.000,30177.346,0.010,9.507,0.000,0.000,0.048,64000.000,40.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,18.000,1.000,30211.335,0.010,10.019,0.000,0.000,0.050,64000.000,45.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,20.000,1.000,64000.000,0.011,15.156,0.000,0.000,0.076,64000.000,50.000
