GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,1.000,10648.000,0.000,1.963,0.000,0.000,0.010,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000,2.000,1.000,19683.000,0.000,3.106,0.000,0.000,0.016,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000,2.000,1.000,29791.000,0.000,4.357,0.000,0.000,0.022,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,39304,34.000,2.000,1.000,39304.000,0.000,5.560,0.000,0.000,0.028,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,50653,37.000,2.000,1.000,50653.000,0.000,8.547,0.000,0.000,0.043,50653.000,5.405
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,59319,39.000,2.000,1.000,59319.000,0.000,9.868,0.000,0.000,0.049,59319.000,5.128
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,68921,41.000,2.000,1.000,68921.000,0.000,11.292,0.000,0.000,0.056,68921.000,4.878
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,79507,43.000,2.000,1.000,79507.000,0.000,12.900,0.000,0.000,0.064,79507.000,4.651
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,91125,45.000,2.000,1.000,91125.000,0.000,15.020,0.000,0.000,0.075,91125.000,4.444
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,97336,46.000,2.000,1.000,97336.000,0.000,28.561,0.000,0.000,0.143,97336.000,4.348
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,195112,58.000,2.000,1.000,195112.000,0.000,88.181,0.000,0.000,0.441,195112.000,3.448
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,300763,67.000,2.000,1.000,300763.000,0.000,187.731,0.000,0.000,0.939,300763.000,2.985
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,405224,74.000,2.000,1.000,405224.000,0.000,316.693,0.000,0.000,1.583,405224.000,2.703
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,493039,79.000,2.000,1.000,493039.000,0.000,462.472,0.000,0.000,2.312,493039.000,2.532
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,592704,84.000,2.000,1.000,592704.000,0.000,648.589,0.000,0.000,3.243,592704.000,2.381
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,704969,89.000,2.000,1.000,704969.000,0.000,884.062,0.000,0.000,4.420,704969.000,2.247
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,804357,93.000,2.000,1.000,804357.000,0.000,1135.446,0.000,0.000,5.677,804357.000,2.151
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,912673,97.000,2.000,1.000,912673.000,0.000,1433.844,0.000,0.000,7.169,912673.000,2.062
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,1000000,100.000,2.000,1.000,1000000.000,0.000,1730.682,0.000,0.000,8.654,1000000.000,2.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1.000,10648.000,2.900,0.884,0.000,0.000,0.004,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,1.000,19683.000,0.011,1.317,0.000,0.000,0.007,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,1.000,29791.000,0.011,1.812,0.000,0.000,0.009,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,39304,34.000,2.000,1.000,39304.000,0.011,2.283,0.000,0.000,0.011,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,1.000,50653.000,0.011,2.822,0.000,0.000,0.014,50653.000,5.405
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,1.000,59319.000,0.011,3.226,0.000,0.000,0.016,59319.000,5.128
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,68921,41.000,2.000,1.000,68921.000,0.011,6.182,0.000,0.000,0.031,68921.000,4.878
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,79507,43.000,2.000,1.000,79507.000,0.011,7.036,0.000,0.000,0.035,79507.000,4.651
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,91125,45.000,2.000,1.000,91125.000,0.012,7.999,0.000,0.000,0.040,91125.000,4.444
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,97336,46.000,2.000,1.000,97336.000,0.012,8.527,0.000,0.000,0.043,97336.000,4.348
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,195112,58.000,2.000,1.000,195112.000,0.012,34.008,0.000,0.000,0.170,195112.000,3.448
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,300763,67.000,2.000,1.000,300763.000,0.011,78.110,0.000,0.000,0.391,300763.000,2.985
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,405224,74.000,2.000,1.000,405224.000,0.011,139.678,0.000,0.000,0.699,405224.000,2.703
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,493039,79.000,2.000,1.000,493039.000,0.013,198.821,0.000,0.000,0.994,493039.000,2.532
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,592704,84.000,2.000,1.000,592704.000,0.016,256.196,0.000,0.000,1.281,592704.000,2.381
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,704969,89.000,2.000,1.000,704969.000,0.016,365.622,0.000,0.000,1.828,704969.000,2.247
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,804357,93.000,2.000,1.000,804357.000,0.020,483.986,0.000,0.000,2.420,804357.000,2.151
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,912673,97.000,2.000,1.000,912673.000,0.026,628.361,0.000,0.000,3.142,912673.000,2.062
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,1000000,100.000,2.000,1.000,1000000.000,0.016,770.470,0.000,0.000,3.852,1000000.000,2.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1.000,208.396,0.000,0.185,0.000,0.000,0.001,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,1.000,189.208,0.000,0.183,0.000,0.000,0.001,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,1.000,191.292,0.000,0.187,0.000,0.000,0.001,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000,2.000,1.000,207.644,0.000,0.194,0.000,0.000,0.001,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000,2.000,1.000,194.542,0.000,0.199,0.000,0.000,0.001,50653.000,5.405
