GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1.000,208.396,0.000,0.186,0.000,0.000,0.001,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,1.000,189.208,0.000,0.185,0.000,0.000,0.001,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,2.000,412.778,0.000,0.312,0.000,0.000,0.002,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,1.000,191.292,0.000,0.189,0.000,0.000,0.001,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,3.000,614.585,0.000,0.439,0.000,0.000,0.002,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000,2.000,1.000,207.644,0.000,0.196,0.000,0.000,0.001,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,2.000,375.245,0.000,0.307,0.000,0.000,0.002,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,4.000,819.510,0.000,0.574,0.000,0.000,0.003,10648.000,9.091
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000,2.000,1.000,194.542,0.000,0.201,0.000,0.000,0.001,50653.000,5.405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,3.000,557.531,0.000,0.436,0.000,0.000,0.002,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000,2.000,1.000,196.301,0.000,0.202,0.000,0.000,0.001,59319.000,5.128
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59582,31.000,2.000,2.000,380.437,0.000,0.320,0.000,0.000,0.002,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000,2.000,1.000,197.453,0.000,0.204,0.000,0.000,0.001,68921.000,4.878
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78608,34.000,2.000,2.000,415.551,0.000,0.339,0.000,0.000,0.002,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,4.000,742.043,0.000,0.564,0.000,0.000,0.003,19683.000,7.407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000,2.000,1.000,198.157,0.000,0.208,0.000,0.000,0.001,79507.000,4.651
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,89373,31.000,2.000,3.000,569.034,0.000,0.607,0.000,0.000,0.003,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000,2.000,1.000,199.185,0.000,0.294,0.000,0.000,0.001,91125.000,4.444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,97336,46.000,2.000,1.000,210.476,0.000,0.318,0.000,0.000,0.002,97336.000,4.348
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,101306,37.000,2.000,2.000,389.160,0.000,0.499,0.000,0.000,0.002,50653.000,5.405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,117912,34.000,2.000,3.000,622.590,0.000,0.748,0.000,0.000,0.004,39304.000,5.882
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,118638,39.000,2.000,2.000,391.336,0.000,0.521,0.000,0.000,0.003,59319.000,5.128
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,119164,31.000,2.000,4.000,757.130,0.000,0.906,0.000,0.000,0.005,29791.000,6.452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,137842,41.000,2.000,2.000,393.682,0.000,0.532,0.000,0.000,0.003,68921.000,4.878
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,148877,53.000,2.000,1.000,201.427,0.000,0.333,0.000,0.000,0.002,148877.000,3.774
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,151959,37.000,2.000,3.000,582.771,0.000,0.746,0.000,0.000,0.004,50653.000,5.405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,157216,34.000,2.000,4.000,829.274,0.000,1.018,0.000,0.000,0.005,39304.000,5.882
