GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,0,1.000000,0.052768,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1.000000,0.052283,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,2,1.000000,0.052280,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,3,1.000000,0.052288,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,4,1.000000,0.052280,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,5,1.000000,0.052282,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,6,1.000000,0.052284,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,7,1.000000,0.052282,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,8,1.000000,0.052291,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,9,1.000000,0.052289,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,10,1.000000,0.052284,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,11,1.000000,0.052285,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,12,1.000000,0.052283,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,13,1.000000,0.052284,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,14,1.000000,0.052285,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,15,1.000000,0.052297,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,16,1.000000,0.052292,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,17,1.000000,0.052291,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,18,1.000000,0.052293,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,19,1.000000,0.052295,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,20,1.000000,0.052299,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,21,1.000000,0.052299,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,22,1.000000,0.052307,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,23,1.000000,0.052302,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,24,1.000000,0.052306,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,25,1.000000,0.052306,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,26,1.000000,0.052311,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,27,1.000000,0.052309,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,28,1.000000,0.052316,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,29,1.000000,0.052312,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,30,1.000000,0.052313,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,31,1.000000,0.052314,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,32,1.000000,0.052323,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,33,1.000000,0.052324,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,34,1.000000,0.052321,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,35,1.000000,0.052327,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,36,1.000000,0.052333,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,37,1.000000,0.052325,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,38,1.000000,0.052326,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,39,1.000000,0.052334,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,40,1.000000,0.052339,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,41,1.000000,0.052342,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,42,1.000000,0.052338,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,43,1.000000,0.052345,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,44,1.000000,0.052346,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,45,1.000000,0.052351,64000.000000,5.000000
