GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,0,1.000000,0.006629,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1.000000,0.006530,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,2,1.000000,0.006528,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,3,1.000000,0.006527,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,4,1.000000,0.006530,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,5,1.000000,0.006527,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,6,1.000000,0.006531,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,7,1.000000,0.006528,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,8,1.000000,0.006531,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,9,1.000000,0.006533,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,10,1.000000,0.006534,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,11,1.000000,0.006531,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,12,1.000000,0.006533,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,13,1.000000,0.006535,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,14,1.000000,0.006536,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,15,1.000000,0.006537,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,16,1.000000,0.006539,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,17,1.000000,0.006538,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,18,1.000000,0.006539,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,19,1.000000,0.006543,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,20,1.000000,0.006545,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,21,1.000000,0.006545,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,22,1.000000,0.006502,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,23,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,24,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,25,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,26,1.000000,0.006335,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,27,1.000000,0.006330,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,28,1.000000,0.006326,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,29,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,30,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,31,1.000000,0.006328,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,32,1.000000,0.006331,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,33,1.000000,0.006336,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,34,1.000000,0.006334,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,35,1.000000,0.006339,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,36,1.000000,0.006337,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,37,1.000000,0.006342,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,38,1.000000,0.006342,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,39,1.000000,0.006343,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,40,1.000000,0.006342,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,41,1.000000,0.006343,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,42,1.000000,0.006345,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,43,1.000000,0.006347,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,44,1.000000,0.006347,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,45,1.000000,0.006352,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,46,1.000000,0.006353,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,47,1.000000,0.006333,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,48,1.000000,0.006208,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,49,1.000000,0.006206,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,50,1.000000,0.006208,10648.000000,9.090909
