GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,193.737671,0.000000,0.181098,0.000000,0.000000,0.000893,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,193.737696,0.000000,0.111276,0.000000,0.000000,0.000544,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,193.737676,0.000000,0.100436,0.000000,0.000000,0.000489,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,193.737696,0.000000,0.093483,0.000000,0.000000,0.000455,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,193.737707,0.000000,0.091568,0.000000,0.000000,0.000445,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,193.737681,0.000000,0.090968,0.000000,0.000000,0.000442,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,50,1.000000,193.737686,0.000000,0.091744,0.000000,0.000000,0.000446,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,100,1.000000,193.737676,0.000000,0.093055,0.000000,0.000000,0.000452,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,200,1.000000,193.737696,0.000000,0.095304,0.000000,0.000000,0.000464,64000.000000,5.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1.000000,1396.787231,0.000000,0.922952,0.000000,0.000000,0.004602,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.000000,0.435134,0.000000,0.000000,0.002163,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,2,1.000000,1396.787191,0.000000,0.426697,0.000000,0.000000,0.002121,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.000000,0.421828,0.000000,0.000000,0.002097,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,10,1.000000,1396.787231,0.000000,0.420718,0.000000,0.000000,0.002091,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.000000,0.420880,0.000000,0.000000,0.002092,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.000000,0.422544,0.000000,0.000000,0.002100,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.000000,0.423940,0.000000,0.000000,0.002107,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.000000,0.428451,0.000000,0.000000,0.002130,64000.000000,10.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1.000000,3722.180420,0.000000,1.818213,0.000000,0.000000,0.009078,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1.000000,3722.180338,0.000000,1.146814,0.000000,0.000000,0.005721,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.000000,1.138681,0.000000,0.000000,0.005680,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,5,1.000000,3722.180176,0.000000,1.133780,0.000000,0.000000,0.005656,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,10,1.000000,3722.180257,0.000000,1.133416,0.000000,0.000000,0.005654,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,20,1.000000,3722.180176,0.000000,1.133538,0.000000,0.000000,0.005655,64000.000000,15.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,50,1.000000,3722.180257,0.000000,1.134483,0.000000,0.000000,0.005660,64000.000000,15.000000
